window_id,window_start_date,window_end_date,event_count,total_estimated_impact_energy_kt,max_estimated_impact_energy_kt,event_ids,dates_utc,window_note
HEF_0004,2012-08-13,2012-08-27,2,0.81,0.69,FB_20120813053153_00493 | FB_20120826145547_00492,2012-08-13 05:31:53 | 2012-08-26 14:55:47,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0002,2012-05-22,2012-06-05,2,0.8,0.59,FB_20120522083142_00498 | FB_20120525113124_00497,2012-05-22 08:31:42 | 2012-05-25 11:31:24,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0022,2013-12-23,2014-01-06,1,0.79,0.79,FB_20131223083057_00453,2013-12-23 08:30:57,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0108,2019-09-27,2019-10-11,2,0.78,0.57,FB_20190927133545_00241 | FB_20191010161636_00239,2019-09-27 13:35:45 | 2019-10-10 16:16:36,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0040,2015-03-04,2015-03-18,3,0.77,0.37,FB_20150304043005_00411 | FB_20150311061859_00409 | FB_20150318000450_00408,2015-03-04 04:30:05 | 2015-03-11 06:18:59 | 2015-03-18 00:04:50,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0115,2020-03-23,2020-04-06,2,0.74,0.39,FB_20200323165150_00217 | FB_20200326232756_00216,2020-03-23 16:51:50 | 2020-03-26 23:27:56,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0088,2018-05-08,2018-05-22,2,0.72,0.49,FB_20180508022713_00295 | FB_20180512032646_00294,2018-05-08 02:27:13 | 2018-05-12 03:26:46,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0009,2012-12-18,2013-01-01,2,0.7,0.59,FB_20121218111917_00479 | FB_20121230072535_00478,2012-12-18 11:19:17 | 2012-12-30 07:25:35,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0153,2022-12-29,2023-01-12,4,0.69,0.22,FB_20221229065208_00115 | FB_20230102163801_00114 | FB_20230109011713_00113 | FB_20230111235950_00112,2022-12-29 06:52:08 | 2023-01-02 16:38:01 | 2023-01-09 01:17:13 | 2023-01-11 23:59:50,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0175,2024-05-24,2024-06-07,3,0.69,0.26,FB_20240524161959_00071 | FB_20240527031936_00070 | FB_20240601232458_00069,2024-05-24 16:19:59 | 2024-05-27 03:19:36 | 2024-06-01 23:24:58,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0105,2019-07-23,2019-08-06,1,0.69,0.69,FB_20190723204257_00249,2019-07-23 20:42:57,High-energy fireballs >= 0.1 kt inside 14-day window
