rank,candidate_type,candidate_id,candidate_name,primary_date_or_window,score,reason,source_report
124,high_energy_fireball_window,HEF_0087,HEF_0087,2018-04-21 to 2018-05-05,61.85,3 high-energy fireballs; total energy 0.37 kt,high_energy_fireball_windows.csv
125,close_approach_window,CAW_0040,CAW_0040,2002-05-03 to 2002-05-17,61.598,2 close approaches; closest distance 0.004200767995 au,close_approach_windows.csv
126,high_energy_fireball_window,HEF_0163,HEF_0163,2023-07-26 to 2023-08-09,61.2,2 high-energy fireballs; total energy 4.24 kt,high_energy_fireball_windows.csv
127,close_approach_window,CAW_0070,CAW_0070,2004-02-01 to 2004-02-15,60.829,2 close approaches; closest distance 0.00458544324 au,close_approach_windows.csv
128,high_energy_fireball_window,HEF_0142,HEF_0142,2022-03-06 to 2022-03-20,59.7,2 high-energy fireballs; total energy 3.94 kt,high_energy_fireball_windows.csv
129,close_approach_window,CAW_0087,CAW_0087,2004-11-12 to 2004-11-26,59.423,2 close approaches; closest distance 0.005288347582 au,close_approach_windows.csv
130,close_approach_window,CAW_0054,CAW_0054,2003-04-05 to 2003-04-19,58.54,3 close approaches; closest distance 0.013229882555 au,close_approach_windows.csv
131,high_energy_fireball_window,HEF_0019,HEF_0019,2013-10-09 to 2013-10-23,58.45,2 high-energy fireballs; total energy 3.69 kt,high_energy_fireball_windows.csv
132,high_energy_fireball_window,HEF_0184,HEF_0184,2024-12-20 to 2025-01-03,57.55,2 high-energy fireballs; total energy 3.51 kt,high_energy_fireball_windows.csv
133,fireball_month_cluster,month_5,Month 5,month=5,56.417,52 fireballs; total energy 25.07 kt,fireball_month_clusters.csv
134,close_approach_window,CAW_0013,CAW_0013,2000-09-29 to 2000-10-13,56.267,2 close approaches; closest distance 0.006866522437 au,close_approach_windows.csv
135,close_approach_window,CAW_0075,CAW_0075,2004-04-25 to 2004-05-09,56.011,2 close approaches; closest distance 0.006994374361 au,close_approach_windows.csv
136,close_approach_window,CAW_0065,CAW_0065,2003-10-27 to 2003-11-10,55.196,2 close approaches; closest distance 0.007402242797 au,close_approach_windows.csv
137,high_energy_fireball_window,HEF_0090,HEF_0090,2018-06-21 to 2018-07-05,54.5,2 high-energy fireballs; total energy 2.9 kt,high_energy_fireball_windows.csv
138,repeating_close_approach_object,2001 GO2,       (2001 GO2),2000-Apr-06 23:09 to 2002-Apr-08 07:58,53.555,3 close approaches; minimum distance 0.016103420794 au,repeating_close_approach_objects.csv
139,close_approach_window,CAW_0046,CAW_0046,2002-09-15 to 2002-09-29,53.411,3 close approaches; closest distance 0.01579466879 au,close_approach_windows.csv
140,close_approach_window,CAW_0091,CAW_0091,2005-01-19 to 2005-02-02,53.134,2 close approaches; closest distance 0.008432944049 au,close_approach_windows.csv
141,high_energy_fireball_window,HEF_0189,HEF_0189,2025-03-27 to 2025-04-10,52.95,2 high-energy fireballs; total energy 2.59 kt,high_energy_fireball_windows.csv
142,close_approach_window,CAW_0019,CAW_0019,2001-01-24 to 2001-02-07,52.527,2 close approaches; closest distance 0.008736647899 au,close_approach_windows.csv
143,repeating_close_approach_object,2004 PU42,       (2004 PU42),2002-Aug-11 13:02 to 2004-Aug-15 07:32,52.515,2 close approaches; minimum distance 0.005348995537 au,repeating_close_approach_objects.csv
144,fireball_month_cluster,month_10,Month 10,month=10,51.383,50 fireballs; total energy 16.71 kt,fireball_month_clusters.csv
145,close_approach_window,CAW_0049,CAW_0049,2002-11-26 to 2002-12-10,50.358,2 close approaches; closest distance 0.009821241783 au,close_approach_windows.csv
146,high_energy_fireball_window,HEF_0132,HEF_0132,2021-07-05 to 2021-07-19,49.85,2 high-energy fireballs; total energy 1.97 kt,high_energy_fireball_windows.csv
147,high_energy_fireball_window,HEF_0098,HEF_0098,2019-01-22 to 2019-02-05,49.3,2 high-energy fireballs; total energy 1.86 kt,high_energy_fireball_windows.csv
148,high_energy_fireball_window,HEF_0194,HEF_0194,2025-08-12 to 2025-08-26,48.75,2 high-energy fireballs; total energy 1.75 kt,high_energy_fireball_windows.csv
149,repeating_close_approach_object,367943,367943 Duende (2012 DA14),2003-Aug-18 07:57 to 2004-Aug-19 12:36,48.464,2 close approaches; minimum distance 0.008131098292 au,repeating_close_approach_objects.csv
150,repeating_close_approach_object,2021 CZ3,       (2021 CZ3),2002-Aug-14 04:18 to 2004-Feb-12 02:06,48.083,2 close approaches; minimum distance 0.012080379619 au,repeating_close_approach_objects.csv
151,close_approach_window,CAW_0045,CAW_0045,2002-08-18 to 2002-09-01,47.955,1 close approaches; closest distance 0.003522589176 au,close_approach_windows.csv
152,high_energy_fireball_window,HEF_0061,HEF_0061,2016-06-27 to 2016-07-11,47.9,2 high-energy fireballs; total energy 1.58 kt,high_energy_fireball_windows.csv
153,repeating_close_approach_object,2001 XX4,       (2001 XX4),2001-Dec-07 10:33 to 2002-Dec-09 08:31,47.79,2 close approaches; minimum distance 0.019492183224 au,repeating_close_approach_objects.csv
154,repeating_close_approach_object,2022 JF,       (2022 JF),2003-May-03 18:19 to 2004-Nov-03 01:05,47.392,2 close approaches; minimum distance 0.018744779746 au,repeating_close_approach_objects.csv
155,high_energy_fireball_window,HEF_0026,HEF_0026,2014-03-18 to 2014-04-01,47.15,2 high-energy fireballs; total energy 1.43 kt,high_energy_fireball_windows.csv
156,repeating_close_approach_object,2015 RT1,       (2015 RT1),2000-Aug-24 17:49 to 2003-Jan-05 08:39,46.982,2 close approaches; minimum distance 0.011737892563 au,repeating_close_approach_objects.csv
157,close_approach_window,CAW_0059,CAW_0059,2003-07-18 to 2003-08-01,46.854,2 close approaches; closest distance 0.011573118993 au,close_approach_windows.csv
158,high_energy_fireball_window,HEF_0176,HEF_0176,2024-06-18 to 2024-07-02,46.65,2 high-energy fireballs; total energy 1.33 kt,high_energy_fireball_windows.csv
159,high_energy_fireball_window,HEF_0114,HEF_0114,2020-02-28 to 2020-03-13,46.45,2 high-energy fireballs; total energy 1.29 kt,high_energy_fireball_windows.csv
160,high_energy_fireball_window,HEF_0143,HEF_0143,2022-03-24 to 2022-04-07,46.1,2 high-energy fireballs; total energy 1.22 kt,high_energy_fireball_windows.csv
161,high_energy_fireball_window,HEF_0202,HEF_0202,2026-05-21 to 2026-06-04,46.1,2 high-energy fireballs; total energy 1.22 kt,high_energy_fireball_windows.csv
162,repeating_close_approach_object,2004 CZ1,       (2004 CZ1),2002-Jun-28 09:42 to 2004-Feb-24 16:02,46.04,2 close approaches; minimum distance 0.015981576808 au,repeating_close_approach_objects.csv
163,repeating_close_approach_object,25143, 25143 Itokawa (1998 SF36),2001-Mar-29 18:37 to 2004-Jun-26 20:00,45.704,2 close approaches; minimum distance 0.012896865253 au,repeating_close_approach_objects.csv
164,high_energy_fireball_window,HEF_0070,HEF_0070,2017-02-06 to 2017-02-20,45.35,2 high-energy fireballs; total energy 1.07 kt,high_energy_fireball_windows.csv
165,repeating_close_approach_object,2017 XY2,       (2017 XY2),2002-Dec-15 16:36 to 2004-Jun-09 03:10,45.325,2 close approaches; minimum distance 0.014635013331 au,repeating_close_approach_objects.csv
166,high_energy_fireball_window,HEF_0001,HEF_0001,2012-05-04 to 2012-05-18,45.15,2 high-energy fireballs; total energy 1.03 kt,high_energy_fireball_windows.csv
167,high_energy_fireball_window,HEF_0006,HEF_0006,2012-09-11 to 2012-09-25,45.0,2 high-energy fireballs; total energy 1.0 kt,high_energy_fireball_windows.csv
168,repeating_close_approach_object,2001 FR85,       (2001 FR85),2001-Mar-23 07:48 to 2001-Sep-15 19:38,44.777,2 close approaches; minimum distance 0.011161607206 au,repeating_close_approach_objects.csv
169,repeating_close_approach_object,2020 KQ7,       (2020 KQ7),2000-Feb-09 10:11 to 2001-Jun-28 01:35,44.753,2 close approaches; minimum distance 0.011545593511 au,repeating_close_approach_objects.csv
170,close_approach_window,CAW_0061,CAW_0061,2003-08-27 to 2003-09-10,44.503,1 close approaches; closest distance 0.005248421132 au,close_approach_windows.csv
171,high_energy_fireball_window,HEF_0063,HEF_0063,2016-08-05 to 2016-08-19,44.5,2 high-energy fireballs; total energy 0.9 kt,high_energy_fireball_windows.csv
172,high_energy_fireball_window,HEF_0029,HEF_0029,2014-06-26 to 2014-07-10,44.35,2 high-energy fireballs; total energy 0.87 kt,high_energy_fireball_windows.csv
173,close_approach_window,CAW_0024,CAW_0024,2001-05-29 to 2001-06-12,44.21,2 close approaches; closest distance 0.012894969416 au,close_approach_windows.csv
174,high_energy_fireball_window,HEF_0052,HEF_0052,2015-12-08 to 2015-12-22,44.15,2 high-energy fireballs; total energy 0.83 kt,high_energy_fireball_windows.csv
175,high_energy_fireball_window,HEF_0038,HEF_0038,2015-01-07 to 2015-01-21,44.1,2 high-energy fireballs; total energy 0.82 kt,high_energy_fireball_windows.csv
176,high_energy_fireball_window,HEF_0004,HEF_0004,2012-08-13 to 2012-08-27,44.05,2 high-energy fireballs; total energy 0.81 kt,high_energy_fireball_windows.csv
177,high_energy_fireball_window,HEF_0002,HEF_0002,2012-05-22 to 2012-06-05,44.0,2 high-energy fireballs; total energy 0.8 kt,high_energy_fireball_windows.csv
178,high_energy_fireball_window,HEF_0108,HEF_0108,2019-09-27 to 2019-10-11,43.9,2 high-energy fireballs; total energy 0.78 kt,high_energy_fireball_windows.csv
179,high_energy_fireball_window,HEF_0115,HEF_0115,2020-03-23 to 2020-04-06,43.7,2 high-energy fireballs; total energy 0.74 kt,high_energy_fireball_windows.csv
180,repeating_close_approach_object,2025 PN7,       (2025 PN7),2002-Aug-02 15:28 to 2004-Aug-04 17:26,43.605,3 close approaches; minimum distance 0.029548615305 au,repeating_close_approach_objects.csv
181,high_energy_fireball_window,HEF_0088,HEF_0088,2018-05-08 to 2018-05-22,43.6,2 high-energy fireballs; total energy 0.72 kt,high_energy_fireball_windows.csv
182,high_energy_fireball_window,HEF_0009,HEF_0009,2012-12-18 to 2013-01-01,43.5,2 high-energy fireballs; total energy 0.7 kt,high_energy_fireball_windows.csv
183,high_energy_fireball_window,HEF_0083,HEF_0083,2018-01-15 to 2018-01-29,43.25,2 high-energy fireballs; total energy 0.65 kt,high_energy_fireball_windows.csv
184,close_approach_window,CAW_0003,CAW_0003,2000-02-09 to 2000-02-23,43.245,2 close approaches; closest distance 0.01337753904 au,close_approach_windows.csv
185,high_energy_fireball_window,HEF_0054,HEF_0054,2016-01-21 to 2016-02-04,43.1,2 high-energy fireballs; total energy 0.62 kt,high_energy_fireball_windows.csv
186,high_energy_fireball_window,HEF_0155,HEF_0155,2023-02-02 to 2023-02-16,43.1,2 high-energy fireballs; total energy 0.62 kt,high_energy_fireball_windows.csv
187,high_energy_fireball_window,HEF_0156,HEF_0156,2023-02-19 to 2023-03-05,43.0,2 high-energy fireballs; total energy 0.6 kt,high_energy_fireball_windows.csv
188,high_energy_fireball_window,HEF_0196,HEF_0196,2025-11-11 to 2025-11-25,43.0,2 high-energy fireballs; total energy 0.6 kt,high_energy_fireball_windows.csv
189,high_energy_fireball_window,HEF_0042,HEF_0042,2015-04-21 to 2015-05-05,42.95,2 high-energy fireballs; total energy 0.59 kt,high_energy_fireball_windows.csv
190,high_energy_fireball_window,HEF_0128,HEF_0128,2021-03-05 to 2021-03-19,42.9,2 high-energy fireballs; total energy 0.58 kt,high_energy_fireball_windows.csv
191,high_energy_fireball_window,HEF_0183,HEF_0183,2024-11-29 to 2024-12-13,42.85,2 high-energy fireballs; total energy 0.57 kt,high_energy_fireball_windows.csv
