rank,candidate_type,candidate_id,candidate_name,primary_date_or_window,score,orbit_context_status,orbit_class_code,orbit_class_name,is_neo,is_pha,moid_au,estimated_diameter_km,sentry_match_status,sentry_year_range,sentry_impact_probability,review_note
179,high_energy_fireball_window,HEF_0115,HEF_0115,2020-03-23 to 2020-04-06,43.7,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
180,repeating_close_approach_object,2025 PN7,       (2025 PN7),2002-Aug-02 15:28 to 2004-Aug-04 17:26,43.605,ok,APO,Apollo,True,False,,,not_matched_in_fetched_sentry,,,Specific object enriched with SBDB orbital context.
181,high_energy_fireball_window,HEF_0088,HEF_0088,2018-05-08 to 2018-05-22,43.6,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
182,high_energy_fireball_window,HEF_0009,HEF_0009,2012-12-18 to 2013-01-01,43.5,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
183,high_energy_fireball_window,HEF_0083,HEF_0083,2018-01-15 to 2018-01-29,43.25,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
184,close_approach_window,CAW_0003,CAW_0003,2000-02-09 to 2000-02-23,43.245,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
185,high_energy_fireball_window,HEF_0054,HEF_0054,2016-01-21 to 2016-02-04,43.1,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
186,high_energy_fireball_window,HEF_0155,HEF_0155,2023-02-02 to 2023-02-16,43.1,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
187,high_energy_fireball_window,HEF_0156,HEF_0156,2023-02-19 to 2023-03-05,43.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
188,high_energy_fireball_window,HEF_0196,HEF_0196,2025-11-11 to 2025-11-25,43.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
189,high_energy_fireball_window,HEF_0042,HEF_0042,2015-04-21 to 2015-05-05,42.95,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
190,high_energy_fireball_window,HEF_0128,HEF_0128,2021-03-05 to 2021-03-19,42.9,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
191,high_energy_fireball_window,HEF_0183,HEF_0183,2024-11-29 to 2024-12-13,42.85,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
192,high_energy_fireball_window,HEF_0109,HEF_0109,2019-10-22 to 2019-11-05,42.8,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
193,repeating_close_approach_object,2002 PN,       (2002 PN),2002-Aug-04 13:32 to 2004-Jan-28 19:47,42.776,ok,APO,Apollo,True,False,,,not_matched_in_fetched_sentry,,,Specific object enriched with SBDB orbital context.
194,high_energy_fireball_window,HEF_0199,HEF_0199,2026-03-17 to 2026-03-31,42.7,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
195,close_approach_window,CAW_0002,CAW_0002,2000-01-24 to 2000-02-07,42.665,not_enriched,,,,,,,matched_sentry,2077-2122,2.97549714e-05,No direct SBDB context attached in this run.
196,high_energy_fireball_window,HEF_0138,HEF_0138,2021-12-20 to 2022-01-03,42.65,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
197,high_energy_fireball_window,HEF_0073,HEF_0073,2017-04-30 to 2017-05-14,42.6,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
198,high_energy_fireball_window,HEF_0141,HEF_0141,2022-02-17 to 2022-03-03,42.6,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
199,high_energy_fireball_window,HEF_0003,HEF_0003,2012-07-25 to 2012-08-08,42.5,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
200,high_energy_fireball_window,HEF_0180,HEF_0180,2024-09-23 to 2024-10-07,42.5,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
201,high_energy_fireball_window,HEF_0065,HEF_0065,2016-09-14 to 2016-09-28,42.35,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
202,high_energy_fireball_window,HEF_0118,HEF_0118,2020-07-12 to 2020-07-26,42.2,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
203,high_energy_fireball_window,HEF_0030,HEF_0030,2014-07-29 to 2014-08-12,42.15,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
204,high_energy_fireball_window,HEF_0074,HEF_0074,2017-05-22 to 2017-06-05,42.15,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
205,high_energy_fireball_window,HEF_0071,HEF_0071,2017-02-22 to 2017-03-08,42.05,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
206,high_energy_fireball_window,HEF_0146,HEF_0146,2022-06-14 to 2022-06-28,42.05,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
207,high_energy_fireball_window,HEF_0076,HEF_0076,2017-07-13 to 2017-07-27,41.85,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
208,high_energy_fireball_window,HEF_0133,HEF_0133,2021-07-29 to 2021-08-12,41.8,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
209,high_energy_fireball_window,HEF_0101,HEF_0101,2019-04-06 to 2019-04-20,41.7,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
210,high_energy_fireball_window,HEF_0150,HEF_0150,2022-10-20 to 2022-11-03,41.65,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
211,high_energy_fireball_window,HEF_0082,HEF_0082,2017-12-31 to 2018-01-14,41.6,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
212,high_energy_fireball_window,HEF_0100,HEF_0100,2019-03-15 to 2019-03-29,41.6,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
